M,S,T,curve_pv
10,1,7,6.666666666666626e-05
10,1,8,0.03439999999999999
10,1,9,0.07573333333333333
10,1,10,0.08113333333333331
10,1,11,0.1112
10,1,12,0.09486666666666668
10,1,13,0.09113333333333332
10,1,14,0.07426666666666668
10,1,15,0.05253333333333332
10,1,16,0.03786666666666667
10,1,17,0.008266666666666665
10,1,18,0.0
10,1,19,0.0
10,1,20,0.0
10,1,21,0.0
10,1,22,0.0
10,1,23,0.0
10,1,24,0.0
10,2,1,0.0
10,2,2,0.0
10,2,3,0.0
10,2,4,0.0
10,2,5,0.0
10,2,6,0.0
10,2,7,0.00711111111111111
10,2,8,0.14544444444444446
10,2,9,0.3406666666666667
10,2,10,0.5046666666666667
10,2,11,0.6116666666666666
10,2,12,0.6073333333333333
10,2,13,0.5881111111111111
10,2,14,0.5606666666666666
10,2,15,0.43044444444444446
10,2,16,0.2643333333333333
10,2,17,0.07666666666666667
10,2,18,0.0
10,2,19,0.0
10,2,20,0.0
10,2,21,0.0
10,2,22,0.0
10,2,23,0.0
10,2,24,0.0
10,3,1,0.0
10,3,2,0.0
10,3,3,0.0
10,3,4,0.0
10,3,5,0.0
10,3,6,0.0
10,3,7,0.00014285714285714292
10,3,8,0.048
10,3,9,0.17457142857142857
10,3,10,0.30814285714285716
10,3,11,0.43
10,3,12,0.4255714285714286
10,3,13,0.3758571428571429
10,3,14,0.2904285714285714
10,3,15,0.18057142857142858
10,3,16,0.10142857142857142
10,3,17,0.014000000000000002
10,3,18,0.0
10,3,19,0.0
10,3,20,0.0
10,3,21,0.0
10,3,22,0.0
10,3,23,0.0
10,3,24,0.0
11,1,1,0.0
11,1,2,0.0
11,1,3,0.0
11,1,4,0.0
11,1,5,0.0
11,1,6,0.0
11,1,7,0.0
11,1,8,0.035666666666666666
11,1,9,0.29533333333333334
11,1,10,0.46299999999999997
11,1,11,0.5306666666666666
11,1,12,0.579
11,1,13,0.5706666666666667
11,1,14,0.474
11,1,15,0.2876666666666666
11,1,16,0.13633333333333333
11,1,17,0.0
11,1,18,0.0
11,1,19,0.0
11,1,20,0.0
11,1,21,0.0
11,1,22,0.0
11,1,23,0.0
11,1,24,0.0
11,2,1,0.0
11,2,2,0.0
11,2,3,0.0
11,2,4,0.0
11,2,5,0.0
11,2,6,0.0
11,2,7,0.0
11,2,8,0.0016500000000000004
11,2,9,0.040900000000000006
11,2,10,0.06119999999999999
11,2,11,0.06434999999999998
11,2,12,0.07684999999999999
11,2,13,0.06015000000000002
11,2,14,0.07219999999999999
11,2,15,0.038750000000000014
11,2,16,0.0079
11,2,17,0.0
11,2,18,0.0
11,2,19,0.0
11,2,20,0.0
11,2,21,0.0
