M,D,T,curve_load
5,1,15,0.5110012892135798
5,1,16,0.5167788759967532
5,1,17,0.6409110442629997
5,1,18,0.6794251062407488
5,1,19,0.6367855608079073
5,1,20,0.601088669245094
5,1,21,0.5764981139282817
5,1,22,0.5591892279043118
5,1,23,0.4871747123143772
5,1,24,0.39660507090674696
5,2,1,0.32601823998472046
5,2,2,0.28771427207181405
5,2,3,0.2649477152270449
5,2,4,0.25649620398223755
5,2,5,0.26446545385092873
5,2,6,0.3007592035524997
5,2,7,0.3713890082605167
5,2,8,0.4361743780738195
5,2,9,0.4673494723774054
5,2,10,0.45637205748937604
5,2,11,0.4582247051520795
5,2,12,0.4737239172993364
5,2,13,0.4520269302392208
5,2,14,0.4325311559948432
5,2,15,0.430859953206322
5,2,16,0.4604545671584778
5,2,17,0.6213484219070812
5,2,18,0.6425440481306404
5,2,19,0.6037243947858474
5,2,20,0.5737286921644464
5,2,21,0.5590889557370005
5,2,22,0.5561476388292032
5,2,23,0.491176049276608
5,2,24,0.3928520269302393
5,3,1,0.3233711282271661
5,3,2,0.2834517867177945
5,3,3,0.26076823906647717
5,3,4,0.2555155201480943
5,3,5,0.26722752966844077
5,3,6,0.29954381673333114
5,3,7,0.36499289279693237
5,3,8,0.4368285345938978
5,3,9,0.48463852434630267
5,3,10,0.4943572113318569
5,3,11,0.5002082575782619
5,3,12,0.5145449737198771
5,3,13,0.48779213910283964
5,3,14,0.46796469538197094
5,3,15,0.4585897986843411
5,3,16,0.48427490000330575
5,3,17,0.6356219629103171
5,3,18,0.6679514726785892
5,3,19,0.6232752636276487
5,3,20,0.5913688803675913
5,3,21,0.587190506098972
5,3,22,0.5645234868268819
5,3,23,0.49816204422994287
5,3,24,0.39738851608211306
6,1,1,0.34230232058444354
6,1,2,0.2960356682423722
6,1,3,0.2678448646325742
6,1,4,0.2570584443489472
6,1,5,0.2571497636441771
6,1,6,0.2630210571551354
6,1,7,0.3100666093682854
6,1,8,0.40489901160292224
6,1,9,0.4916630855178342
6,1,10,0.5337129351095833
6,1,11,0.5485281478298238
6,1,12,0.5572303394929095
6,1,13,0.5354802320584444
6,1,14,0.5060807907176623
6,1,15,0.48688225182638595
6,1,16,0.48920820799312426
6,1,17,0.5941233347657929
6,1,18,0.6279490760636013
6,1,19,0.5898474430597336
6,1,20,0.5685969058874087
6,1,21,0.533691448216588
6,1,22,0.5353674258702192
6,1,23,0.4854694886119468
6,1,24,0.3957026214009455
6,2,1,0.3288651614822651
6,2,2,0.2883805494033255
6,2,3,0.2693067997752141
6,2,4,0.2599814882152657
6,2,5,0.2643879541172193
6,2,6,0.29137549171928206
6,2,7,0.3645135697993455
6,2,8,0.4280751049552082
6,2,9,0.4595253049485968
6,2,10,0.4571121615814354
6,2,11,0.45750884268288655
6,2,12,0.47421903408151805
6,2,13,0.4540973852104063
6,2,14,0.44056394829922985
6,2,15,0.43939373904994883
6,2,16,0.4668077088360716
6,2,17,0.6066939935869889
6,2,18,0.6251727215629237
6,2,19,0.5845591881260125
6,2,20,0.5586030213877228
6,2,21,0.5355856004760174
6,2,22,0.5406829526296653
6,2,23,0.5038180556014678
6,2,24,0.4025288420217514
6,3,1,0.32761781979659077
6,3,2,0.2848636776011078
6,3,3,0.2643986057393879
6,3,4,0.25659170128443876
6,3,5,0.2616864823568735
6,3,6,0.2903977462636681
6,3,7,0.3585923697655542
6,3,8,0.4147352337296472
6,3,9,0.4427111684094925
6,3,10,0.442672969488612
6,3,11,0.44002291935252835
6,3,12,0.45595664422480076
6,3,13,0.43781215680657026
6,3,14,0.4256935491572364
6,3,15,0.4285059447070621
6,3,16,0.4599245571312611
6,3,17,0.5997517070142769
6,3,18,0.6128109630902928
6,3,19,0.5755574655015996
6,3,20,0.5481306403094114
6,3,21,0.5277037673685719
6,3,22,0.529842906937879
6,3,23,0.48977701379936023
6,3,24,0.3928233777395789
7,1,1,0.3287752470992695
7,1,2,0.2871164589600344
7,1,3,0.26996991834980666
7,1,4,0.2635324452084229
7,1,5,0.2643747314138376
7,1,6,0.28153846153846157
7,1,7,0.34140094542329186
7,1,8,0.40590459819510105
7,1,9,0.4446325741297809
7,1,10,0.457163730124624
7,1,11,0.46379888268156433
7,1,12,0.47155135367425877
7,1,13,0.4586678126342931
7,1,14,0.4445552213149979
7,1,15,0.4333992264718522
7,1,16,0.4559518693596907
7,1,17,0.5647185217017621
7,1,18,0.5816330038676408
7,1,19,0.5483712935109584
7,1,20,0.5250795015040826
7,1,21,0.5087408680704771
7,1,22,0.5182552642887839
7,1,23,0.4824065320154706
7,1,24,0.4046669531585733
7,2,1,0.33510098839707786
7,2,2,0.2938848302535454
7,2,3,0.27177481736140957
